mariadb-10.6,692
haskell-vector-space,690
mysql-8.0,690
pg-similarity,688
mpg123,688
razorqt,688
dosbox,686
haskell-hslua-core,686
haskell-doclayout,684
haskell-hstatsd,682
epiphany-browser,682
eclipse-titan,682
golang-1.11,680
nanopolish,680
linphone,680
plasma-workspace,678
phybin,676
fftw3,676
haskell-web-routes,676
llvm-toolchain-3.4,676
bluefish,674
haskell-invariant,674
haskell-interpolate,674
haskell-intervals,674
irssi,674
kdepim4,674
trustedqsl,674
nam,674
pvm,672
yt,672
cdebconf,672
sludge,672
bogofilter,672
mate-utils,672
qmapshack,672
raster3d,672
lcdf-typetools,672
haskell-gluraw,670
haskell-dual-tree,668
rxvt-unicode,668
pd-fftease,666
libetonyek,666
device-tree-compiler,664
potrace,660
quagga,660
xz-utils,658
haskell-gi-xlib,658
haskell-tasty-rerun,658
haskell-citeproc-hs,656
wabt,652
geos,652
haskell-scanner,652
vorbis-tools,652
libvpx,650
reiser4progs,650
slurm-wlm,648
haskell-blaze-html,648
haskell-lens-aeson,648
haskell-auto-update,648
empathy,648
lldpd,648
directfb,646
openvswitch,646
haskell-lucid,646
okular,644
lagan,644
schroot,642
haskell-irc,642
python-gssapi,640
yaskkserv,640
fenics-dolfinx,640
kfilemetadata,640
nfdump,640
verilator,638
fityk,636
haskell-nanospec,636
mapcache,636
direnv,634
openclonk,634
cmus,632
haskell-memotrie,632
plasma-sdk,630
haskell-simple,630
xwiimote,628
haskell-gtk-strut,628
thrift,628
libgetdata,626
libkolabxml,626
bwm-ng,624
haskell-haskeline,624
haskell-sdl2-ttf,622
haskell-hsini,618
haskell-stringsearch,618
simutrans,616
simgrid,616
cgal,614
haskell-pointed,614
haskell-hashable,614
haskell-git-lfs,614
djvulibre,612
haskell-mtl,612
lomiri,612
wcalc,610
haskell-diagrams-svg,610
rygel,610
haskell-hjscript,608
haskell-mwc-random,608
haskell-tasty-kat,608
haskell-stringprep,606
haskell-diagrams-gtk,604
xapian-omega,602
mailavenger,600
evince,600
visp,600
lgogdownloader,600
slinkwatch,598
haskell-formatting,598
lighttpd,596
ocaml-atd,594
haskell-recursion-schemes,592
haskell-torrent,590
mpich,590
fitsh,588
haskell-doctemplates,588
hydrogen,584
haskell-pipes-safe,582
miniupnpd,582
mongo-tools,580
fish,578
diod,578
openvpn-auth-radius,578
zsh,578
squeak-vm,576
oggvideotools,576
gcc-or1k-elf,576
gcc-bpf,576
haskell-operational,576
hcxtools,576
jeex,576
qt6-tools,576
utox,576
netkit-rsh,576
xca,574
snapd,574
libgda5,574
gtk+3.0,572
haskell-blaze-svg,572
multimail,572
remctl,572
python-reportlab,568
partimage,568
libiodbc2,568
haskell-libzip,568
haskell-hsql,568
mtr,568
axel,568
nghttp2,568
netcdf,568
vim,566
munge,564
orthanc-wsi,562
haskell-ekg,562
haskell-readargs,562
pandas,560
haskell-lazy-csv,560
h5utils,560
gjiten,558
haskell-log-domain,558
osmcoastline,556
plasma-desktop,554
haskell-regex-pcre,554
cfengine3,552
syncevolution,552
gdnsd,552
gatling,552
bird,552
httrack,552
q4wine,552
haskell-tar-conduit,550
miredo,550
dropbear,548
haskell-unicode-data,548
haskell-monadrandom,548
haskell-filepattern,548
haskell-unix-compat,548
haskell-copilot-core,548
qca2,548
gst-plugins-good0.10,544
haskell-time-compat,544
haskell-openal,544
orc,542
global,542
zmap,542
zbackup,542
gnome-keyring,540
haskell-cmark-gfm,540
haskell-generic-trie,538
psmisc,536
yabause,536
getdns,536
anjuta,536
netdata,534
chip-seq,532
sqliteodbc,532
gdbm,532
haskell-vault,532
jabberd2,532
modemmanager,532
actor-framework,532
vpb-driver,532
haskell-appar,530
iwyu,530
vala,530
python2.7,528
xpilot-ng,528
flite,528
foomatic-filters,528
haskell-th-utilities,528
haskell-scientific,528
jfsutils,528
mlmmj,528
xen,526
smb4k,526
haskell-scotty,526
aom,526
ufraw,526
gqrx-sdr,524
haskell-stm,524
haskell-microlens-th,524
ipv6toolkit,524
kdevplatform,524
zim-tools,522
pmix,520
python-wheezy.template,520
poco,520
goldencheetah,520
haskell-protobuf,520
haskell-exceptions,518
vdr-plugin-xineliboutput,518
haskell-mueval,516
haskell-regex-posix,516
libsolv,516
garli,514
haskell-warp-tls,514
xmltooling,512
sparse,512
gitit,512
haskell-ixset,512
pacemaker,510
colord,510
kdelibs4support,510
pioneers,508
pyodbc,506
ssh-contact,506
supertux,506
haskell-network-info,506
haskell-css-text,506
audacious-plugins,506
proftpd-mod-msg,504
cc65,504
c-icap,504
dillo,504
spatialite-tools,504
genius,504
httest,504
hylafax,504
haskell-text-zipper,504
haskell-generic-data,504
mpb,504
anfo,504
libwps,504
ecasound,504
eb,504
e17,504
why3,502
grfcodec,502
libgpg-error,502
isc-dhcp,502
pinot,500
haskell-lrucache,500
haskell-reflection,500
jack-audio-connection-kit,500
audit,500
esys-particle,500
vdr,500
ncl,500
haskell-mmap,498
pushpin,496
xpa,496
haskell-ltk,496
haskell-notmuch-web,496
gnubg,494
megaglest,494
qastools,494
smartmontools,492
ax25-apps,492
pnetcdf,490
doublecmd,490
gnss-sdr,490
haskell-memoize,490
sslh,488
gtk2hs-buildtools,488
haskell-html-conduit,488
ntirpc,488
yaz,486
woff2,486
python-astropy,484
ctpp2,484
drawxtl,484
openvdb,484
gnudatalanguage,484
parrot,480
funtools,480
btrfs-progs,480
bsdgames,480
haskell-hopenpgp-tools,480
mplayer,480
mate-panel,480
votca-csg,480
keepalived,480
nx-libs,480
talloc,478
budgie-desktop,476
haskell-equivalence,476
mz,476
icecc,476
kdevelop,476
xsystem35,474
sway,474
htpdate,474
abcm2ps,474
pinentry,472
xine-lib-1.2,472
baresip,472
haskell-gd,472
haskell-hashmap,472
android,472
gle-graphics,470
haskell-exact-pi,470
libarchive,470
nsd,470
sparskit,468
openjpeg2,468
golang-1.17,468
haskell-heredoc,468
atdgen,468
tuxpaint,468
privoxy,466
dvdauthor,466
policykit-1,464
python-omniorb,464
skrooge,464
godot,464
haskell-microlens,464
kdepim,464
rxvt,464
siggen,462
silo-llnl,462
tickr,462
reprepro,462
desmume,460
bird2,460
mrtrix3,460
pocl,458
cmark,458
crispy-doom,458
haskell-x11-xft,458
libvisio,456
genwqe-user,456
haskell-unix-time,456
haskell-map-syntax,456
hisat2,456
mutt,456
libdap,456
lua5.3,456
haskell-abstract-par,454
qstardict,454
python-bsddb3,452
davix,452
aranym,452
ibus,452
xfce4-session,450
liblas,450
haskell-puremd5,450
mathgl,450
paho.mqtt.c,448
haskell-data-hash,448
js-of-ocaml,448
mkvtoolnix,448
mplayer2,448
zulu,448
pavucontrol,446
firejail,446
deja-dup,446
glade,446
haskell-bytedump,446
yapet,444
squeezelite,444
gpaste,444
haskell-cprng-aes,444
haskell-tasty-golden,444
haskell-pem,442
haskell-cookie,442
tmfs,442
psi-plus,440
proj,440
haskell-parallel,440
htop,440
admesh,440
isync,438
quassel,438
yadifa,436
gst0.10-python,436
haskell-status-notifier-item,436
k3b,436
phonon,434
haskell-some,434
haskell-http-date,434
haskell-temporary,434
proftpd-mod-geoip2,432
cd-hit,432
dwm,432
